recipe_name,prep_time,cook_time,total_time,servings,yield,rating,url,img_src,total_fat (g),sat_fat (g),cholesterol (mg),sodium (mg),total_carbohydrate (g),dietary_fiber (g),total_sugars (g),protein (g),vitamin_c (mg),calcium (mg),iron (mg),potassium (mg)
Amazing Apple Butter,10 mins,10 hrs 25 mins,10 hrs 40 mins,48,6 cups,4.9,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/,https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg,0.0,,,2.0,20,2.0,16.0,0.0,5.0,8.0,0.0,127
Easy Apple Cinnamon Muffins,20 mins,25 mins,45 mins,6,6 large muffins,4.1,https://www.allrecipes.com/recipe/24352/easy-apple-cinnamon-muffins/,https://www.allrecipes.com/thmb/KJ3htdTnxZsf9tSvbqILDsqeSaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5907258-easy-apple-cinnamon-muffins-Kelly-McCulley-1x1-1-b3c6941ddef3499bafc0399c022ac08f.jpg,29.0,12.0,73.0,441.0,79,3.0,47.0,6.0,2.0,110.0,2.0,131
Debbie's Amazing Apple Bread,15 mins,1 hrs,1 hrs 15 mins,10,1 9x5-inch loaf,4.1,https://www.allrecipes.com/recipe/231288/debbies-amazing-apple-bread/,https://www.allrecipes.com/thmb/scNfqqIpDtfCcaFQIjsvzmxCSV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580871_Debbies-Amazing-Apple-Bread-1x1-1-3f46182021ab4a889b86f7dac9c1c9fb.jpg,12.0,2.0,37.0,412.0,63,1.0,43.0,4.0,1.0,39.0,1.0,70
Mom's Apple Fritters,20 mins,15 mins,35 mins,24,,4.5,https://www.allrecipes.com/recipe/90295/moms-apple-fritters/,https://www.allrecipes.com/thmb/cU_5TCv2LWEf-I2QJbXTsJUaGSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/90295-moms-apple-fritters-ddmfs-1X1-5783-a6edf46cd33c4a00ad5a02432822e57d.jpg,5.0,1.0,16.0,98.0,17,1.0,3.0,2.0,1.0,35.0,1.0,41
Easy Apple Crisp with Pie Filling,10 mins,20 mins,30 mins,6,1 8x8-inch dish,3.5,https://www.allrecipes.com/recipe/22917/easy-apple-crisp-with-pie-filling/,https://www.allrecipes.com/thmb/bQ7QL-XFrgBwNMsa43zSyaX_xmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7813774-acbbc3ca7c0f4caaa24f2d4c07b7b83f.jpg,31.0,5.0,,398.0,67,2.0,9.0,5.0,1.0,31.0,2.0,119
Apple Strudel Muffins,20 mins,20 mins,45 mins,12,12 muffins,4.5,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/,https://www.allrecipes.com/thmb/QTc6kTodu38CuuTDlcAz9XbueDA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1097944-apple-strudel-muffins-Korona-1x1-2-6710dec0aba7474a80c89f21a2059ebc.jpg,10.0,6.0,54.0,255.0,41,1.0,24.0,3.0,1.0,33.0,1.0,63
Delicious Cinnamon Baked Apples,15 mins,45 mins,1 hrs,6,,4.3,https://www.allrecipes.com/recipe/228683/delicious-cinnamon-baked-apples/,https://www.allrecipes.com/thmb/wYuZO3nEvxY6WgITCcHa78l2wlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228683-delicious-cinnamon-baked-apples-ddmfs-4X3-1428-9500d581c4ad4d74acc67e4f6c947326.jpg,1.0,1.0,2.0,9.0,37,6.0,27.0,1.0,10.0,29.0,0.0,240
Waldorf Salad,20 mins,,20 mins,6,,4.6,https://www.allrecipes.com/recipe/16800/waldorf-salad-ii/,https://www.allrecipes.com/thmb/0-fRnnKLjtwxVaqh2PUbkiOTbVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2180807_Waldorf-Salad-II-4x3-1-0d929166ff114b14a0e818e001e0dbe4.jpg,21.0,3.0,7.0,171.0,24,3.0,17.0,2.0,5.0,29.0,1.0,263
Apple-Cranberry Crostada,,,,8,6 to 8 - servings,4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,18.0,7.0,19.0,128.0,60,5.0,40.0,4.0,8.0,35.0,1.0,245
Apple Pie by Grandma Ople,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,19.0,9.0,31.0,124.0,52,3.0,,2.0,5.0,23.0,1.0,156
Sarah's Homemade Applesauce,10 mins,15 mins,25 mins,4,,4.8,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,0.0,,,3.0,32,4.0,27.0,0.0,6.0,13.0,0.0,150
Apple Crisp,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch pan,4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,8.0,5.0,20.0,98.0,61,3.0,44.0,2.0,4.0,36.0,1.0,162
Apple Pie Filling,20 mins,20 mins,2 hrs 40 mins,40,5 9-inch pies,4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,0.0,,,61.0,33,1.0,28.0,0.0,3.0,7.0,0.0,63
Easy Apple Crisp with Oat Topping,20 mins,40 mins,1 hrs,4,,4.7,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg,25.0,15.0,61.0,177.0,99,8.0,63.0,5.0,10.0,69.0,2.0,360
Easy Apple Cider,10 mins,1 hrs,1 hrs 10 mins,8,,4.6,https://www.allrecipes.com/recipe/42022/easy-apple-cider/,https://www.allrecipes.com/thmb/fRJDPqthkB2mxnA5VOrG6szvS1Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/158643-2d01a5a0827c44598c89b3bd819d250e.jpg,0.0,,,31.0,43,1.0,38.0,0.0,0.0,23.0,0.0,20
Apple-Cranberry Crisp,25 mins,40 mins,1 hrs 5 mins,8,1 8-inch crisp,4.6,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg,12.0,4.0,15.0,47.0,43,4.0,32.0,2.0,7.0,37.0,1.0,207
Old-Fashioned Apple Dumplings,30 mins,1 hrs,1 hrs 30 mins,6,,4.7,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg,35.0,15.0,41.0,434.0,148,7.0,115.0,5.0,11.0,52.0,2.0,319
Southern Fried Apples,10 mins,10 mins,20 mins,4,,4.6,https://www.allrecipes.com/recipe/230907/southern-fried-apples/,https://www.allrecipes.com/thmb/j38-5Fxnr9NUifEj3gsaBBkd75k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1049390-361cabad31114328ac20bcc3c35ffce4.jpg,23.0,15.0,61.0,165.0,45,5.0,39.0,1.0,7.0,49.0,1.0,174
Apple Turnovers,30 mins,25 mins,55 mins,8,8 turnovers,4.6,https://www.allrecipes.com/recipe/59124/apple-turnovers/,https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,26.0,8.0,8.0,184.0,80,2.0,50.0,5.0,5.0,42.0,2.0,161
Apple Crisp - Perfect and Easy,20 mins,40 mins,1 hrs,6,1 8-inch square dish,4.7,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/,https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg,16.0,10.0,41.0,207.0,56,2.0,38.0,2.0,2.0,13.0,1.0,77
The Best Caramel Apples,15 mins,30 mins,2 hrs 15 mins,8,,4.5,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg,28.0,17.0,78.0,269.0,142,5.0,113.0,5.0,11.0,210.0,1.0,491
Mulligatawny Soup,20 mins,1 hrs,1 hrs 20 mins,6,,4.8,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/,https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg,16.0,10.0,62.0,734.0,14,1.0,3.0,7.0,3.0,38.0,1.0,186
Sauteed Apples,5 mins,15 mins,20 mins,8,4 cups,4.8,https://www.allrecipes.com/recipe/21672/sauteed-apples/,https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg,6.0,4.0,15.0,45.0,24,3.0,20.0,0.0,5.0,18.0,0.0,128
Homemade Apple Cider,15 mins,3 hrs,7 hrs 15 mins,16,1 gallon,4.4,https://www.allrecipes.com/recipe/211772/homemade-apple-cider/,https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg,0.0,,,1.0,22,2.0,18.0,0.0,4.0,12.0,0.0,98
Canned Apple Pie Filling,30 mins,10 mins,1 hrs,56,7 quarts,4.5,https://www.allrecipes.com/recipe/15942/canned-apple-pie-filling/,https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg,0.0,,,85.0,25,1.0,21.0,0.0,3.0,5.0,0.0,54
Easy Apple Pie,20 mins,40 mins,1 hrs,8,1 9-inch pie,4.6,https://www.allrecipes.com/recipe/12324/apple-pie-i/,https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg,9.0,3.0,4.0,128.0,42,3.0,29.0,2.0,4.0,11.0,1.0,117
Apple Crumb Pie,30 mins,50 mins,1 hrs 20 mins,8,1 9-inch pie,4.7,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg,15.0,4.0,11.0,139.0,70,4.0,49.0,4.0,6.0,37.0,1.0,261
Caramel Apples,8 mins,2 mins,25 mins,6,6 caramel apples,4.4,https://www.allrecipes.com/recipe/21130/caramel-apples/,https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg,6.0,2.0,5.0,164.0,70,3.0,57.0,4.0,7.0,104.0,0.0,295
German Apple Cake,15 mins,45 mins,1 hrs,24,1 9x13-inch cake,4.6,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg,10.0,1.0,16.0,107.0,28,1.0,19.0,2.0,1.0,7.0,1.0,41
"Awesome Sausage, Apple and Cranberry Stuffing",15 mins,15 mins,1 hrs 30 mins,10,,4.8,https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg,12.0,5.0,80.0,548.0,22,2.0,9.0,13.0,9.0,47.0,3.0,268
Apple Hand Pies,25 mins,35 mins,1 hrs 15 mins,4,4 hand pies,4.7,https://www.allrecipes.com/recipe/234374/apple-hand-pies/,https://www.allrecipes.com/thmb/euXNMeXiywj4v6L_dLhpSqwsN0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234374-apple-hand-pies-mfs-1-8458cf2b0e764a7ab31c2d6aa0e3e841.jpg,42.0,13.0,62.0,754.0,82,6.0,31.0,9.0,5.0,38.0,4.0,215
Amazing Apple Butter,10 mins,10 hrs 25 mins,10 hrs 40 mins,48,6 cups,4.9,https://www.allrecipes.com/recipe/229892/amazing-apple-butter/,https://www.allrecipes.com/thmb/x6vOON48-nGa1EFyDtv3yP_-yNE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4097964-91fe5b73052648c7a2dad2ee8283ad23.jpg,0.0,,,2.0,20,2.0,16.0,0.0,5.0,8.0,0.0,127
Easy Apple Cinnamon Muffins,20 mins,25 mins,45 mins,6,6 large muffins,4.1,https://www.allrecipes.com/recipe/24352/easy-apple-cinnamon-muffins/,https://www.allrecipes.com/thmb/KJ3htdTnxZsf9tSvbqILDsqeSaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5907258-easy-apple-cinnamon-muffins-Kelly-McCulley-1x1-1-b3c6941ddef3499bafc0399c022ac08f.jpg,29.0,12.0,73.0,441.0,79,3.0,47.0,6.0,2.0,110.0,2.0,131
Debbie's Amazing Apple Bread,15 mins,1 hrs,1 hrs 15 mins,10,1 9x5-inch loaf,4.1,https://www.allrecipes.com/recipe/231288/debbies-amazing-apple-bread/,https://www.allrecipes.com/thmb/scNfqqIpDtfCcaFQIjsvzmxCSV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4580871_Debbies-Amazing-Apple-Bread-1x1-1-3f46182021ab4a889b86f7dac9c1c9fb.jpg,12.0,2.0,37.0,412.0,63,1.0,43.0,4.0,1.0,39.0,1.0,70
Mom's Apple Fritters,20 mins,15 mins,35 mins,24,,4.5,https://www.allrecipes.com/recipe/90295/moms-apple-fritters/,https://www.allrecipes.com/thmb/cU_5TCv2LWEf-I2QJbXTsJUaGSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/90295-moms-apple-fritters-ddmfs-1X1-5783-a6edf46cd33c4a00ad5a02432822e57d.jpg,5.0,1.0,16.0,98.0,17,1.0,3.0,2.0,1.0,35.0,1.0,41
Easy Apple Crisp with Pie Filling,10 mins,20 mins,30 mins,6,1 8x8-inch dish,3.5,https://www.allrecipes.com/recipe/22917/easy-apple-crisp-with-pie-filling/,https://www.allrecipes.com/thmb/bQ7QL-XFrgBwNMsa43zSyaX_xmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7813774-acbbc3ca7c0f4caaa24f2d4c07b7b83f.jpg,31.0,5.0,,398.0,67,2.0,9.0,5.0,1.0,31.0,2.0,119
Apple Strudel Muffins,20 mins,20 mins,45 mins,12,12 muffins,4.5,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/,https://www.allrecipes.com/thmb/QTc6kTodu38CuuTDlcAz9XbueDA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1097944-apple-strudel-muffins-Korona-1x1-2-6710dec0aba7474a80c89f21a2059ebc.jpg,10.0,6.0,54.0,255.0,41,1.0,24.0,3.0,1.0,33.0,1.0,63
Delicious Cinnamon Baked Apples,15 mins,45 mins,1 hrs,6,,4.3,https://www.allrecipes.com/recipe/228683/delicious-cinnamon-baked-apples/,https://www.allrecipes.com/thmb/wYuZO3nEvxY6WgITCcHa78l2wlo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228683-delicious-cinnamon-baked-apples-ddmfs-4X3-1428-9500d581c4ad4d74acc67e4f6c947326.jpg,1.0,1.0,2.0,9.0,37,6.0,27.0,1.0,10.0,29.0,0.0,240
Waldorf Salad,20 mins,,20 mins,6,,4.6,https://www.allrecipes.com/recipe/16800/waldorf-salad-ii/,https://www.allrecipes.com/thmb/0-fRnnKLjtwxVaqh2PUbkiOTbVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2180807_Waldorf-Salad-II-4x3-1-0d929166ff114b14a0e818e001e0dbe4.jpg,21.0,3.0,7.0,171.0,24,3.0,17.0,2.0,5.0,29.0,1.0,263
Apple-Cranberry Crostada,,,,8,6 to 8 - servings,4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg,18.0,7.0,19.0,128.0,60,5.0,40.0,4.0,8.0,35.0,1.0,245
Apple Pie by Grandma Ople,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg,19.0,9.0,31.0,124.0,52,3.0,,2.0,5.0,23.0,1.0,156
Sarah's Homemade Applesauce,10 mins,15 mins,25 mins,4,,4.8,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg,0.0,,,3.0,32,4.0,27.0,0.0,6.0,13.0,0.0,150
Apple Crisp,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch pan,4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg,8.0,5.0,20.0,98.0,61,3.0,44.0,2.0,4.0,36.0,1.0,162
Apple Pie Filling,20 mins,20 mins,2 hrs 40 mins,40,5 9-inch pies,4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg,0.0,,,61.0,33,1.0,28.0,0.0,3.0,7.0,0.0,63
